 Idle Max, Packet Length Std, Packet Length Mean, Average Packet Size, URG Flag Count, Bwd IAT Mean, Flow Duration, Bwd IAT Max,Bwd IAT Total, Bwd Packet Length Std,Label
33535939,0,0,0,0,0,65028406,0,0,0,0.000 
0,0,6,7,0,2,101748,2,2,0,1.000 
9969397,0,0,0,0,0,112297650,0,0,0,0.000 
0,0,6,7,0,2,102968,2,2,0,1.000 
18495883,0,0,0,0,3000388.718,117015302,18496039,117015160,0,1.000 
9820083,0,0,0,0,0,112958286,0,0,0,0.000 
0,38.341,60,75,0,3,21070,3,3,0,0.000 
0,372.714,132.182,133.921,0,36982.14,1643102,508546,1590232,486.639,0.000 
0,15.126,14.857,17.333,1,18.5,217,69,74,16.979,0.000 
0,0,6,8,1,3,52811,3,3,0,0.000 
0,254.195,125.429,127.709,0,338433.355,10927448,1997522,10491434,300.008,1.000 
0,0,6,7,0,3,150268,3,3,0,1.000 
9796869,925.911,647.946,665.944,0,821884.526,15670970,10058574,15615806,1011.34,0.000 
0,3.105,2.25,2.571,0,3,5384485,3,3,0,0.000 
0,30.672,69.4,86.75,0,2,21273,2,2,0,0.000 
0,30.672,59.4,74.25,0,1,21275,1,1,0,0.000 
0,30.672,60.4,75.5,0,1,21094,1,1,0,0.000 
0,8.764,51.4,64.25,0,2,21219,2,2,0,0.000 
57943228,329.138,161.091,163.211,0,3010979,117468529,57983568,117428181,424.516,0.000 
0,3.105,2.25,2.571,0,2,5362515,2,2,0,0.000 
58564378,320.293,154.217,156.098,0,2772351.326,119460593,58604453,119211107,365.249,0.000 
57938984,328.142,158.545,160.632,0,3011008.205,117470374,57980132,117429320,424.019,0.000 
0,8.764,50.4,63,0,4,21259,4,4,0,0.000 
0,8.764,50.4,63,0,1,21261,1,1,0,0.000 
0,8.764,50.4,63,0,2,21168,2,2,0,0.000 
57996238,348.961,190.765,193.15,0,1862532.146,76404152,58037062,76363818,442.632,0.000 
0,32.863,71,88.75,0,3,21270,3,3,0,0.000 
0,596.164,320.862,332.321,0,8151.818,129463,43132,89670,827.594,0.000 
58635010,621.093,221.455,226.605,0,6496806.778,117188224,58674249,116942522,910.302,0.000 
0,8.764,57.4,71.75,0,3,21090,3,3,0,0.000 
0,46.556,85,106.25,0,3,21100,3,3,0,0.000 
0,8.764,37.4,46.75,0,3,21154,3,3,0,0.000 
0,8.764,33.4,41.75,0,2,65859,2,2,0,0.000 
0,150.076,142.6,178.25,0,3,21086,3,3,0,0.000 
0,8.764,37.4,46.75,0,3,21356,3,3,0,0.000 
0,131.453,137,171.25,0,3,21256,3,3,0,0.000 
0,24.648,52,65,0,2,21374,2,2,0,0.000 
0,15.336,52.2,65.25,0,2,21024,2,2,0,0.000 
0,8.764,51.4,64.25,0,3,21005,3,3,0,0.000 
0,8.764,33.4,41.75,0,3,21131,3,3,0,0.000 
0,30.125,64,80,0,3,21186,3,3,0,0.000 
0,27.934,52.4,65.5,0,2,20992,2,2,0,0.000 
0,15.336,56.2,70.25,0,3,21078,3,3,0,0.000 
0,8.764,41.4,51.75,0,3,21135,3,3,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,17.527,25.2,31.5,1,3,174,3,3,0,0.000 
10022893,486.757,179.23,181.685,0,3253949.882,115857221,10062224,110634296,671.903,0.000 
0,8.764,45.4,56.75,0,3,20971,3,3,0,0.000 
0,26.291,50.2,62.75,0,2,21170,2,2,0,0.000 
0,8.764,41.4,51.75,0,2,21151,2,2,0,0.000 
0,33.411,63.4,79.25,0,3,21022,3,3,0,0.000 
0,26.291,50.2,62.75,0,3,21032,3,3,0,0.000 
0,15.336,46.2,57.75,0,3,21019,3,3,0,0.000 
0,29.029,58.2,72.75,0,3,21009,3,3,0,0.000 
0,44.366,63.4,79.25,0,4,21863,4,4,0,0.000 
0,17.527,46.8,58.5,0,3,21193,3,3,0,0.000 
0,8.764,47.4,59.25,0,2,20967,2,2,0,0.000 
0,30.125,60,75,0,3,21032,3,3,0,0.000 
0,17.527,46.8,58.5,0,3,21180,3,3,0,0.000 
0,33.411,65.4,81.75,0,2,20977,2,2,0,0.000 
0,8.764,49.4,61.75,0,1,21288,1,1,0,0.000 
0,32.316,57.6,72,0,3,21233,3,3,0,0.000 
0,8.764,52.4,65.5,0,3,21126,3,3,0,0.000 
0,33.411,67.4,84.25,0,3,21194,3,3,0,0.000 
0,44.366,78.4,98,0,3,21221,3,3,0,0.000 
0,30.672,69.4,86.75,0,3,21218,3,3,0,0.000 
0,30.672,69.4,86.75,0,3,21266,3,3,0,0.000 
0,15.336,55.2,69,0,3,21199,3,3,0,0.000 
0,30.672,59.4,74.25,0,2,21113,2,2,0,0.000 
0,30.672,60.4,75.5,0,3,21203,3,3,0,0.000 
0,30.672,59.4,74.25,0,2,21233,2,2,0,0.000 
0,30.672,60.4,75.5,0,1,21151,1,1,0,0.000 
0,32.316,66.6,83.25,0,3,21269,3,3,0,0.000 
0,22.457,61.4,76.75,0,3,21107,3,3,0,0.000 
0,22.457,61.4,76.75,0,3,21181,3,3,0,0.000 
58099501,358.341,163.108,165.656,0,4037303.207,117330741,58140371,117081793,460.497,0.000 
0,8.764,56.4,70.5,0,3,29445,3,3,0,0.000 
57981283,657.42,531.735,534.174,0,916623.078,117371951,58022355,117327754,691.358,0.000 
0,22.457,61.4,76.75,0,1,29299,1,1,0,0.000 
0,32.316,66.6,83.25,0,3,31596,3,3,0,0.000 
0,15.336,61.2,76.5,0,3,21210,3,3,0,0.000 
0,8.764,38.4,48,0,2,21354,2,2,0,0.000 
0,8.764,38.4,48,0,1,21354,1,1,0,0.000 
58074096,387.034,162.937,165.524,0,4164809.929,116655895,58115164,116614678,502.293,0.000 
0,8.764,38.4,48,0,2,21228,2,2,0,0.000 
0,8.764,38.4,48,0,1,21227,1,1,0,0.000 
0,15.336,43.2,54,0,2,21008,2,2,0,0.000 
0,29.577,50.6,63.25,0,2,21132,2,2,0,0.000 
58375468,701.771,583.543,585.569,0,710407.188,117480445,58563498,117217186,705.927,0.000 
0,8.764,48.4,60.5,0,3,21296,3,3,0,0.000 
0,15.336,53.2,66.5,0,2,20927,2,2,0,0.000 
0,21.361,61.6,77,0,2,21340,2,2,0,0.000 
0,21.361,61.6,77,0,1,21340,1,1,0,0.000 
58658084,470.746,181.194,183.746,0,3257233.667,117301664,58699131,117260412,491.9,0.000 
0,8.764,48.4,60.5,0,3,20922,3,3,0,0.000 
0,21.361,61.6,77,0,2,21358,2,2,0,0.000 
0,150.076,146.6,183.25,0,3,21152,3,3,0,0.000 
58337615,310.409,130.918,133.1,0,4340088.37,117223416,58378865,117182386,425.145,0.000 
0,140.217,143.4,179.25,0,3,21186,3,3,0,0.000 
0,15.336,52.2,65.25,0,2,20981,2,2,0,0.000 
0,25.743,49.8,62.25,0,3,21071,3,3,0,0.000 
0,8.764,31.4,39.25,0,3,21226,3,3,0,0.000 
0,70.108,82.2,102.75,0,1,21224,1,1,0,0.000 
0,8.764,51.4,64.25,0,1,20987,1,1,0,0.000 
10005776,146.99,40.933,41.627,0,4095673.407,115867612,10052584,110583182,184.783,0.000 
0,8.764,31.4,39.25,0,2,21011,2,2,0,0.000 
0,70.108,82.2,102.75,0,2,21205,2,2,0,0.000 
0,8.764,41.4,51.75,0,1,21204,1,1,0,0.000 
0,122.69,120.6,150.75,0,4,21286,4,4,0,0.000 
32510612,0,0,0,0,0,97149162,0,0,0,0.000 
0,0,6,9,1,0,40147,0,0,0,0.000 
0,0,6,9,1,0,54939,0,0,0,0.000 
0,0,6,8,1,2,155,2,2,0,0.000 
0,0,6,8,1,2,116,2,2,0,0.000 
0,22.93,11.556,13,1,325881.25,1303735,1302333,1303525,0,1.000 
0,0,0,0,1,3,435102,3,3,0,1.000 
0,86.54,105.2,131.5,0,3,21075,3,3,0,0.000 
0,30.672,69.4,86.75,0,4,20986,4,4,0,0.000 
0,28.482,58.8,73.5,0,3,21158,3,3,0,0.000 
0,938.24,853.714,874.537,0,25415.13,662708,473382,584548,869.003,0.000 
10009292,114.292,46.095,46.839,0,3798638.759,110198888,10051528,110160524,132.463,0.000 
0,30.672,59.4,74.25,0,2,20957,2,2,0,0.000 
0,30.672,69.4,86.75,0,1,47194,1,1,0,0.000 
0,28.482,58.8,73.5,0,3,58377,3,3,0,0.000 
0,8.764,50.4,63,0,3,21225,3,3,0,0.000 
0,8.764,49.4,61.75,0,1,21076,1,1,0,0.000 
0,15.336,54.2,67.75,0,2,21095,2,2,0,0.000 
0,15.336,55.2,69,0,1,21091,1,1,0,0.000 
0,15.336,55.2,69,0,3,59206,3,3,0,0.000 
0,15.336,54.2,67.75,0,2,47320,2,2,0,0.000 
0,30.672,60.4,75.5,0,3,21181,3,3,0,0.000 
0,28.482,55.8,69.75,0,1,21183,1,1,0,0.000 
0,17.527,51.8,64.75,0,1,21062,1,1,0,0.000 
0,8.764,49.4,61.75,0,2,21323,2,2,0,0.000 
0,30.672,61.4,76.75,0,1,21324,1,1,0,0.000 
0,15.336,54.2,67.75,0,2,21234,2,2,0,0.000 
0,15.336,54.2,67.75,0,3,47270,3,3,0,0.000 
0,29.577,64.6,80.75,0,3,21059,3,3,0,0.000 
0,8.764,48.4,60.5,0,4,20961,4,4,0,0.000 
0,8.764,48.4,60.5,0,2,45077,2,2,0,0.000 
0,168.572,82.2,91.333,0,2,409087,2,2,0,0.000 
0,84.349,105.6,132,0,3,21077,3,3,0,0.000 
0,46.556,76,95,0,3,21125,3,3,0,0.000 
10006101,402.121,165.571,168.582,0,2444762.68,61210305,10102152,61119067,546.345,0.000 
0,70.108,101.2,126.5,0,3,20969,3,3,0,0.000 
0,493.388,298.606,307.938,0,30852.231,523241,117314,401079,675.27,0.000 
0,44.913,82.8,103.5,0,3,21059,3,3,0,0.000 
0,44.913,82.8,103.5,0,3,46036,3,3,0,0.000 
0,26.291,54.2,67.75,0,2,21124,2,2,0,0.000 
10003444,209.964,77.242,78.431,0,3878837.897,117378909,10041809,112486299,272.292,0.000 
10018829,208.549,76.179,77.333,0,3860954.258,119718291,10047648,119689582,264.496,0.000 
0,8.764,42.4,53,0,2,21019,2,2,0,0.000 
0,8.764,42.4,53,0,2,55231,2,2,0,0.000 
0,8.764,38.4,48,0,2,21066,2,2,0,0.000 
0,0,0,0,0,1041136.571,7342858,4255951,7287956,0,0.000 
0,0,0,0,0,1041095.429,7342744,4255945,7287668,0,0.000 
0,0,6,7.5,1,719,55453,1436,1438,0,0.000 
0,0,0,0,0,1041095.143,7342510,4255941,7287666,0,0.000 
0,0,0,0,0,1041033.571,7342464,4255944,7287235,0,0.000 
0,0,6,7.5,1,2367,55606,4734,4734,0,0.000 
0,0,0,0,0,1040637.286,7339407,4259871,7284461,0,0.000 
0,0,0,0,0,1040043,7335457,4255973,7280301,0,0.000 
0,0,0,0,0,1040563,7339058,4259888,7283941,0,0.000 
0,0,0,0,0,1039958.286,7335021,4255988,7279708,0,0.000 
0,0,0,0,0,1039873.286,7334257,4255994,7279113,0,0.000 
0,0,0,0,0,1039861.714,7334096,4255943,7279032,0,0.000 
0,0,0,0,0,1039774.143,7333404,4255926,7278419,0,0.000 
0,0,0,0,0,1040247.714,7336646,4259860,7281734,0,0.000 
7999825,0,0,0,0,1588856.222,14340605,7999825,14299706,0,0.000 
10005428,410.416,149.833,156.348,0,3003033.8,30056943,10032987,30030338,586.56,0.000 
10005807,421.458,153.167,159.826,0,3003056.8,30057064,10032526,30030568,602.741,0.000 
0,8.764,38.4,48,0,1,21020,1,1,0,0.000 
0,569.852,272.783,285.182,0,19583.125,228976,101055,156665,853.222,0.000 
0,434.154,288.083,300.609,0,9993.889,199670,55214,89945,570.177,0.000 
0,15.336,43.2,54,0,2,21232,2,2,0,0.000 
0,0,6,8,1,3,158,3,3,0,0.000 
0,0,6,8,1,3,122,3,3,0,0.000 
0,0,0,0,0,1013537.286,7164744,4060329,7094761,0,0.000 
0,0,6,9,1,0,55500,0,0,0,0.000 
7999791,0,0,0,0,1588893.222,14340952,7999791,14300039,0,0.000 
7999978,0,0,0,0,1588932.778,14341309,7999978,14300395,0,0.000 
0,0,0,0,0,1043763.143,7361400,4260003,7306342,0,0.000 
0,3.105,2.25,2.571,0,2,5746625,2,2,0,0.000 
0,3.105,2.25,2.571,0,3,5746465,3,3,0,0.000 
0,3.105,2.25,2.571,0,3,5725203,3,3,0,0.000 
0,0,6,7.5,1,1436,55636,2869,2872,0,0.000 
0,0,6,8,1,2,113,2,2,0,0.000 
0,0,6,8,1,3,103,3,3,0,0.000 
59278672,402.7,177.526,179.893,0,3096927.342,117745248,59319039,117683239,533.433,0.000 
0,469.92,284.563,293.742,0,7975.923,239154,43954,103687,614.09,0.000 
0,25.743,49.8,62.25,0,3,21150,3,3,0,0.000 
10022309,240.936,122.711,124.347,0,3386188.848,116652001,10063169,111744232,303.35,0.000 
10022321,219.948,97.833,99.211,0,3594561.032,116651933,10063171,111431392,279.394,0.000 
0,8.764,41.4,51.75,0,3,21193,3,3,0,0.000 
0,15.336,46.2,57.75,0,3,21020,3,3,0,0.000 
58376620,639.488,491.233,492.221,0,400330.068,118559779,58417481,118497700,686.422,0.000 
0,22.457,61.4,76.75,0,3,21459,3,3,0,0.000 
0,15.614,15.143,17.667,1,2866,40941,5730,5732,18.475,0.000 
0,32.316,66.6,83.25,0,3,21527,3,3,0,0.000 
0,438.086,256.862,266.036,0,9790,183150,48961,107690,594.388,0.000 
0,559.004,266.036,275.889,0,10313.2,178814,44454,103132,822.553,0.000 
0,438.223,256.931,266.107,0,9861.727,222659,51786,108479,594.576,0.000 
0,464.976,269.552,279.179,0,10293.727,225099,54936,113231,632.085,0.000 
59098959,381.628,176.894,180.739,0,6180037.737,117482984,59161357,117420717,537.572,0.000 
0,8.764,56.4,70.5,0,3,22145,3,3,0,0.000 
0,438.086,256.862,266.036,0,9827.636,166486,51481,108104,594.388,0.000 
0,15.336,61.2,76.5,0,3,21519,3,3,0,0.000 
10006801,192.464,71.97,73.077,0,3848265.31,116398110,10056607,111599694,243.596,0.000 
10022162,192.464,71.97,73.077,0,3850428.172,116397935,10063443,111662417,243.596,0.000 
10006790,192.464,71.97,73.077,0,3849328.172,116397619,10051415,111630517,243.596,0.000 
0,3.105,2.25,2.571,0,1,5157421,1,1,0,0.000 
0,29.577,64.6,80.75,0,2,21083,2,2,0,0.000 
58578165,338.502,140.44,141.859,0,2117284.019,110140041,58623791,110098769,412.785,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,17.527,22,26.4,1,3,2280,3,3,0,0.000 
0,16,30,40,1,0,3,0,0,0,0.000 
0,0,6,8,1,3,176,3,3,0,0.000 
0,17.527,22,26.4,1,2,285,2,2,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,17.527,22,26.4,1,2,249,2,2,0,0.000 
0,17.527,22,26.4,1,3,320,3,3,0,0.000 
0,8.764,38.4,48,0,2,21043,2,2,0,0.000 
58053454,280.674,135.872,136.843,0,1599755.63,116844217,58093729,116782161,265.757,0.000 
0,8.764,38.4,48,0,2,21180,2,2,0,0.000 
0,15.336,43.2,54,0,2,20976,2,2,0,0.000 
0,49.295,69,86.25,0,2,21072,2,2,0,0.000 
10015003,967.151,816.269,820.521,0,993813.92,115761052,10079017,111307159,922.196,0.000 
0,17.527,77.8,97.25,0,3,21436,3,3,0,0.000 
0,31.22,56.8,71,0,2,21290,2,2,0,0.000 
0,685.833,329.857,355.231,0,5798.833,68456,34090,34793,936.657,0.000 
0,8.764,51.4,64.25,0,3,21180,3,3,0,0.000 
58144417,333.546,174.746,177.394,0,3757497.839,116544561,58185481,116482433,406.82,0.000 
0,461.88,539.333,809,1,0,3,0,0,0,0.000 
0,0,6,8,1,0,94,0,0,0,0.000 
0,0,6,8,1,3,33626,3,3,0,0.000 
0,29.577,50.6,63.25,0,3,21148,3,3,0,0.000 
0,21.361,61.6,77,0,2,21208,2,2,0,0.000 
0,8.764,48.4,60.5,0,2,21186,2,2,0,0.000 
0,8.764,48.4,60.5,0,3,21316,3,3,0,0.000 
0,15.336,53.2,66.5,0,2,21151,2,2,0,0.000 
58077455,387.038,172,175.44,0,5058864.696,116416026,58118570,116353888,527.839,0.000 
58679085,678.959,599.419,602.787,0,1117537.133,117406979,58719947,117341399,653.074,0.000 
7999526,0,0,0,0,1588510.111,14340083,7999526,14296591,0,0.000 
0,42.175,60.8,76,0,1,21036,1,1,0,0.000 
0,469.746,259.188,267.548,0,7881.462,162432,42505,102459,636.48,0.000 
58709160,432.888,176.618,178.239,0,1821563.567,109356130,58750308,109293814,387.627,0.000 
0,8.764,47.4,59.25,0,3,22023,3,3,0,0.000 
0,15.336,52.2,65.25,0,3,21105,3,3,0,0.000 
7999971,0,0,0,0,1588920.889,14341401,7999971,14300288,0,0.000 
0,15.336,54.2,67.75,0,2,21096,2,2,0,0.000 
7999982,0,0,0,0,1588893.111,14341071,7999982,14300038,0,0.000 
57989825,485.277,211.895,215.679,0,4648964.32,116317759,58034616,116224108,644.47,0.000 
0,58.606,81.8,102.25,0,2,20987,2,2,0,0.000 
0,15.614,15.143,17.667,1,482.5,41736,963,965,18.475,0.000 
0,58.606,81.8,102.25,0,2,104873,2,2,0,0.000 
10008715,797.21,623.981,627.857,0,1203781.043,116248948,10052002,110747856,824.441,0.000 
10017108,649.857,316.655,320.47,0,2914835,116249005,10056540,110763730,823.534,0.000 
10008639,730.38,361.292,365.398,0,2700412.707,115233665,10054956,110716921,932.207,0.000 
10008707,703.931,367.649,371.602,0,2516280.909,115233738,10050932,110716360,875.688,0.000 
0,35.054,72.6,90.75,0,1,21095,1,1,0,0.000 
10008518,648.232,312.512,316.277,0,2913590.342,115234035,10053716,110716433,823.297,0.000 
10016111,655.506,299.565,303.131,0,2700400.683,115234093,10055363,110716428,838.148,0.000 
0,58.606,81.8,102.25,0,1,69915,1,1,0,0.000 
0,53.129,73.8,92.25,0,2,21117,2,2,0,0.000 
0,8.764,46.4,58,0,2,20981,2,2,0,0.000 
0,33.411,64.4,80.5,0,3,21512,3,3,0,0.000 
10012625,958.985,719.689,724.104,0,1226783.144,115146042,10033389,110410483,984.127,0.000 
0,35.054,72.6,90.75,0,2,21233,2,2,0,0.000 
0,122.69,136.6,170.75,0,2,21375,2,2,0,0.000 
0,8.764,31.4,39.25,0,4,21256,4,4,0,0.000 
0,8.764,45.4,56.75,0,3,24709,3,3,0,0.000 
0,24.648,52,65,0,1,21154,1,1,0,0.000 
0,8.764,51.4,64.25,0,3,21171,3,3,0,0.000 
0,8.764,31.4,39.25,0,1,21170,1,1,0,0.000 
0,8.764,45.4,56.75,0,2,55847,2,2,0,0.000 
0,8.764,45.4,56.75,0,2,20987,2,2,0,0.000 
0,15.336,56.2,70.25,0,3,21181,3,3,0,0.000 
0,17.527,41.8,52.25,0,1,21086,1,1,0,0.000 
0,33.959,63.8,79.75,0,1,25688,1,1,0,0.000 
0,0,6,7,0,1,151764,1,1,0,1.000 
0,17.527,41.8,52.25,0,2,21190,2,2,0,0.000 
0,8.764,37.4,46.75,0,3,21189,3,3,0,0.000 
0,33.959,63.8,79.75,0,2,66930,2,2,0,0.000 
0,39.436,57.8,72.25,0,3,20994,3,3,0,0.000 
0,8.764,37.4,46.75,0,2,21192,2,2,0,0.000 
0,0,6,7.5,1,55,276,109,110,0,0.000 
0,0,6,8,1,2,54747,2,2,0,0.000 
0,0,6,9,1,0,41198,0,0,0,0.000 
0,0,6,9,1,0,55728,0,0,0,0.000 
0,0,6,9,1,0,54728,0,0,0,0.000 
0,0,6,9,1,0,41188,0,0,0,0.000 
0,0,6,8,1,3,113,3,3,0,0.000 
0,0,6,8,1,2,113,2,2,0,0.000 
0,0,6,8,1,3,195,3,3,0,0.000 
0,0,6,8,1,2,150,2,2,0,0.000 
0,29.577,64.6,80.75,0,2,21276,2,2,0,0.000 
0,29.577,64.6,80.75,0,2,47588,2,2,0,0.000 
0,558.168,268.393,278.333,0,8636.583,144462,45997,103639,773.072,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,0,6,9,1,0,3,0,0,0,0.000 
0,8.764,48.4,60.5,0,2,21128,2,2,0,0.000 
0,72.299,97.8,122.25,0,3,21102,3,3,0,0.000 
10019482,467.039,195.074,198.755,0,2442725.72,61160579,10112449,61068143,616.738,0.000 
0,52.581,78.4,98,0,3,21058,3,3,0,0.000 
0,46.556,74,92.5,0,3,21066,3,3,0,0.000 
10018442,202.978,65.719,66.762,0,3808096.345,115988570,10046658,110434794,272.292,0.000 
0,1.026,124.053,130.944,0,0,6016021,0,0,0,0.000 
0,0,201,251.25,0,0,14,0,0,0,0.000 
0,0,6,7.5,1,62,341,112,124,0,0.000 
0,0,6,7.5,1,2,190,3,4,0,0.000 
0,0,6,8,1,2,26531,2,2,0,0.000 
0,0,6,8,1,1,26429,1,1,0,0.000 
0,8.764,48.4,60.5,0,3,21090,3,3,0,0.000 
0,0,6,7.5,0,2,171,2,2,0,1.000 
0,8.764,51.4,64.25,0,3,21005,3,3,0,0.000 
0,8.764,51.4,64.25,0,2,45511,2,2,0,0.000 
58441612,370.679,155.848,158.246,0,3894365.867,116894154,58482527,116830976,507.068,0.000 
0,8.764,51.4,64.25,0,3,21031,3,3,0,0.000 
0,15.336,56.2,70.25,0,1,21105,1,1,0,0.000 
0,15.336,56.2,70.25,0,2,47840,2,2,0,0.000 
10006741,146.99,40.933,41.627,0,4095752.963,115835876,10051557,110585330,184.783,0.000 
0,15.336,46.2,57.75,0,2,21067,2,2,0,0.000 
0,140.765,150.8,188.5,0,3,21330,3,3,0,0.000 
10017764,748.555,324.261,327.824,0,2455193.222,110576077,10113999,110483695,485.687,0.000 
0,70.108,128.2,160.25,0,3,21321,3,3,0,0.000 
0,42.722,108.2,135.25,0,2,21771,2,2,0,0.000 
0,42.722,108.2,135.25,0,3,45058,3,3,0,0.000 
0,86.54,105.2,131.5,0,2,21101,2,2,0,0.000 
0,17.527,51.8,64.75,0,2,21173,2,2,0,0.000 
0,17.527,51.8,64.75,0,3,54707,3,3,0,0.000 
0,30.672,61.4,76.75,0,2,21006,2,2,0,0.000 
0,0,6,9,1,0,91131,0,0,0,0.000 
0,0,6,8,1,3,198,3,3,0,0.000 
0,0,6,7,0,3,93890,3,3,0,1.000 
0,228.746,101.333,102.761,0,251821.892,9317681,2121872,9317410,279.223,1.000 
0,0,0,0,1,0,1083,0,0,0,1.000 
0,0,0,0,1,3,394814,3,3,0,1.000 
0,0,6,9,1,0,92032,0,0,0,0.000 
0,0,6,8,1,2,141,2,2,0,0.000 
0,0,6,7,0,3,128784,3,3,0,1.000 
18764803,0,0,0,0,2543963.213,119566390,18764896,119566271,0,1.000 
9990264,0,0,0,0,0,115015622,0,0,0,0.000 
6000335,0,0,0,0,0,9014303,0,0,0,0.000 
9853554,0,0,0,0,0,116376994,0,0,0,0.000 
0,0,6,7.5,0,2,144,2,2,0,1.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,0,6,8,1,0,4,0,0,0,0.000 
0,0,6,8,1,4,141,4,4,0,0.000 
0,0,6,7.5,0,3,158,3,3,0,1.000 
0,0,6,9,1,0,44709,0,0,0,0.000 
0,0,6,8,1,2,125,2,2,0,0.000 
0,29.577,64.6,80.75,0,3,21118,3,3,0,0.000 
0,8.764,48.4,60.5,0,3,21101,3,3,0,0.000 
0,32.863,66,82.5,0,3,21059,3,3,0,0.000 
0,0,6,7,0,1,99456,1,1,0,1.000 
0,12.199,13.143,15.333,1,64.75,64074,256,259,13.693,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,0,6,9,1,0,41107,0,0,0,0.000 
0,0,6,9,1,0,41103,0,0,0,0.000 
0,0,6,9,1,0,41050,0,0,0,0.000 
0,0,6,9,1,0,40694,0,0,0,0.000 
0,0,6,9,1,0,40647,0,0,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,14.434,22.667,34,1,0,1,0,0,0,0.000 
0,0,6,9,1,0,28719,0,0,0,0.000 
0,11.024,11.556,13,1,1,429,1,1,0,0.000 
0,0,6,8,1,1,170,1,1,0,0.000 
0,0,6,8,1,0,4,0,0,0,0.000 
0,0,6,8,1,0,488,0,0,0,0.000 
